split,skill,seed,step,method,goal_success,unsafe_failure,stale_execution,refresh,probe,abstain,coverage,false_safe,total_cost,predicted_success,calibration_abs_error,true_success_probability,risk_upper,hazard_score,estimated_half_life,true_half_life,half_life_abs_relative_error,shift_norm,observed_norm,mode_signal,exec_age,failure_label,risk_budget
combined_micro_shift,pick_place,0,37,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.25494,0.25494,0.20615,0.63961,0.86112,12.99111,11.06296,0.17429,0.72840,0.61448,0.00000,37.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,38,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.17504,0.17504,0.12693,0.79885,0.94893,8.85489,8.94946,0.01057,0.95288,0.93250,0.33846,38.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,39,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.20615,0.20615,0.19892,0.71266,0.91666,10.87936,11.18391,0.02723,0.71593,0.81966,0.05889,39.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,0,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.92353,0.92353,0.91860,0.14162,0.00000,19.86447,21.04502,0.05610,0.18107,0.12777,0.01372,0.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,1,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.89285,0.89285,0.89775,0.17244,0.03860,17.60946,21.76192,0.19081,0.16109,0.16129,0.04475,1.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,2,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.86553,0.86553,0.87260,0.19812,0.07334,18.19935,20.65687,0.11897,0.19247,0.18334,0.06880,2.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,3,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.82387,0.82387,0.85045,0.23366,0.12616,15.41888,20.56110,0.25009,0.19535,0.23529,0.06936,3.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,4,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.81068,0.81068,0.82700,0.23355,0.14378,17.86192,20.15584,0.11381,0.20783,0.25713,0.00000,4.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,5,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.76349,0.76349,0.81341,0.27019,0.20457,15.14258,21.29487,0.28891,0.17395,0.29205,0.00000,5.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,6,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.78209,0.78209,0.78536,0.23801,0.18540,20.28140,20.08283,0.00989,0.21013,0.15722,0.00000,6.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,7,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.76697,0.76697,0.76192,0.24663,0.20571,21.06719,19.64261,0.07253,0.22438,0.14713,0.00000,7.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,8,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.74133,0.74133,0.73610,0.26467,0.23973,20.23172,18.98484,0.06568,0.24690,0.13520,0.01525,8.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,9,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.64768,0.64768,0.72985,0.37999,0.35472,14.24045,20.25693,0.29701,0.20467,0.27311,0.20164,9.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,10,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.65911,0.65911,0.70979,0.33912,0.34337,16.47854,20.03982,0.17771,0.21150,0.24654,0.03361,10.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,11,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.62304,0.62304,0.68645,0.37099,0.38774,15.54135,19.51319,0.20355,0.22869,0.33965,0.00000,11.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,12,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.63096,0.63096,0.66111,0.35676,0.37972,17.41617,18.85563,0.07634,0.25151,0.27864,0.00000,12.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,13,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.58753,0.58753,0.63899,0.39462,0.43537,15.76470,18.47433,0.14667,0.26548,0.30754,0.02646,13.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,14,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.56942,0.56942,0.62118,0.40627,0.45911,15.79093,18.38841,0.14126,0.26871,0.31405,0.01844,14.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,15,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.52730,0.52730,0.59216,0.42832,0.51605,14.32564,17.54745,0.18361,0.30198,0.27955,0.01255,15.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,16,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.52802,0.52802,0.57106,0.43360,0.51347,15.39335,17.23176,0.10669,0.31531,0.32207,0.00985,16.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,17,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.45497,0.45497,0.56076,0.50406,0.60618,12.64526,17.53412,0.27882,0.30253,0.38206,0.08356,17.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,18,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.39303,0.39303,0.41951,0.61203,0.67915,10.97555,12.76125,0.13993,0.52485,0.48136,0.38160,18.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,19,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.47162,0.47162,0.51508,0.47859,0.58679,14.90133,16.61050,0.10290,0.34302,0.33423,0.04157,19.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,20,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.49474,0.49474,0.49697,0.44266,0.56057,16.85941,16.39394,0.02839,0.35317,0.24394,0.00000,20.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,21,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.41045,0.41045,0.47681,0.53856,0.66453,13.32695,16.05617,0.16998,0.36955,0.37721,0.11490,21.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,22,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.43596,0.43596,0.44931,0.49338,0.63492,15.13372,15.35699,0.01454,0.40575,0.32210,0.00000,22.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,23,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.37757,0.37757,0.43236,0.53703,0.71060,12.85747,15.15468,0.15158,0.41685,0.35385,0.00000,23.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,24,bayesian_skill_survival,0,0,0,0,0,1,0,0,1.48000,0.38113,0.38113,0.42393,0.54499,0.70519,13.61965,15.32584,0.11133,0.40744,0.34516,0.06651,24.00000,abstained_fixed_risk,0.02
